car,price,body,mileage,engV,engType,registration,year,model,drive
Nissan,3000,sedan,292,2.0,Gas,yes,1993,Primera,front
ZAZ,1950,hatch,120,1.2,Petrol,yes,2007,1103 �������,
Mazda,14200,crossover,95,3.7,Gas,yes,2008,CX-9,full
Volkswagen,7300,van,142,2.0,Diesel,yes,2006,Caddy ����.,front
VAZ,4600,vagon,133,1.6,Gas,yes,2011,2111,front
GAZ,2778,sedan,110,2.5,Petrol,yes,2004,31105,rear
Skoda,11900,other,121,1.6,Petrol,yes,2011,Octavia A5,front
Lexus,6000,sedan,350,3.0,Petrol,yes,1996,GS 300,rear
Mercedes-Benz,25500,crossover,77,3.5,Petrol,yes,2008,ML 350,full
Chrysler,3900,sedan,180,2.5,Petrol,yes,1995,Stratus,front
BMW,3500,sedan,280,,Petrol,no,1996,730,rear
Hyundai,18300,hatch,0,1.4,Petrol,yes,2016,i20,front
MG,10500,hatch,57,1.8,Petrol,yes,2014,6,front
Mitsubishi,8500,sedan,116,1.5,Petrol,yes,2008,Lancer X,front
UAZ,5980,crossover,155,2.7,Gas,yes,2007,�������,full
Mercedes-Benz,1600,sedan,338,3.0,Diesel,no,1991,E-Class,rear
Mazda,11300,sedan,180,2.5,Petrol,yes,2008,6,front
Renault,3300,van,250,1.5,Diesel,yes,2005,Kangoo ����.,front
Acura,46999,crossover,30,3.5,Petrol,yes,2014,MDX,full
Mercedes-Benz,11300,sedan,363,3.2,Gas,yes,2004,E-Class,rear
Mercedes-Benz,38700,sedan,117,5.5,Petrol,yes,2010,S 550,full
Chevrolet,8200,sedan,140,2.0,Petrol,yes,2007,Epica,front
Toyota,3100,hatch,283,1.3,Petrol,yes,1994,Corolla,front
Mercedes-Benz,12000,other,218,2.2,Diesel,yes,2007,Vito ����.,rear
Geely,4800,sedan,49,1.5,Petrol,yes,2012,MK-2,front
Mercedes-Benz,1950,sedan,1,2.0,Diesel,yes,1979,200,rear
VAZ,1300,hatch,77,1.5,Gas,yes,1996,2108,front
Geely,6300,hatch,17,1.5,Petrol,yes,2012,MK Cross,front
Honda,10000,sedan,240,2.4,Petrol,yes,2006,Accord,front
Toyota,30500,crossover,40,2.7,Petrol,yes,2011,Land Cruiser Prado,full
Volkswagen,1499,sedan,220,2.0,Gas,no,1995,Passat B4,front
Mercedes-Benz,46900,other,10,2.2,Diesel,yes,2012,E-Class,rear
Renault,3400,van,260,2.2,Diesel,no,2005,Espace,front
Mitsubishi,23900,crossover,1,1.8,Petrol,yes,2015,ASX,front
Ford,6200,vagon,170,1.4,Petrol,yes,2008,Fusion,
Volkswagen,11500,van,163,2.5,Diesel,yes,2008,T5 (Transporter) ����.,front
Peugeot,17800,sedan,90,2.0,Diesel,yes,2013,508,front
Mazda,28000,crossover,76,2.5,Petrol,yes,2014,CX-5,full
Ford,2200,sedan,200,3.0,Gas,yes,1993,Taurus,front
Kia,22000,other,5,1.6,Petrol,yes,2016,Koup,full
Lexus,15000,sedan,146,3.0,Petrol,yes,2006,GS 300,rear
Chery,9000,hatch,1,1.6,Petrol,yes,2011,M11,front
Mazda,2700,sedan,4,1.8,Petrol,yes,1994,626,front
Volvo,20000,crossover,215,3.2,Petrol,yes,2008,XC70,full
Chevrolet,5800,sedan,104,1.6,Gas,yes,2009,Aveo,front
Chevrolet,4500,hatch,185,1.5,Gas,yes,2004,Aveo,front
Renault,5400,sedan,96,1.4,Petrol,yes,2007,Symbol,front
Daewoo,2650,sedan,175,1.5,Gas,yes,2007,Nexia,front
Mercedes-Benz,1850,sedan,281,2.0,Diesel,yes,1985,190,rear
Skoda,7200,hatch,172,1.6,Petrol,yes,2006,Octavia Tour,front
Mazda,14200,crossover,107,2.3,Petrol,yes,2008,CX-7,full
Skoda,17500,sedan,127,1.8,Petrol,yes,2012,Superb,front
Groz,5000,crossover,120,2.2,Gas,yes,2008,Shuttle,rear
Mazda,7150,sedan,167,1.6,Petrol,yes,2006,3,front
Renault,7499,van,123,1.5,Diesel,yes,2009,Kangoo ����.,front
Toyota,30900,sedan,15,2.5,Petrol,yes,2015,Camry,
Volkswagen,20900,sedan,82,2.0,Diesel,yes,2012,Passat B7,front
MINI,20500,hatch,23,1.6,Petrol,yes,2014,Cooper,front
UAZ,1000,crossover,3,2.4,Petrol,yes,1986,469�,full
Chevrolet,6500,sedan,160,2.0,Gas,yes,2005,Evanda,front
Mitsubishi,12500,other,48,1.6,Petrol,yes,2012,Lancer X,
Volkswagen,55555,van,53,2.0,Diesel,yes,2013,Multivan,full
BMW,1900,sedan,300,2.5,Diesel,no,1997,5 Series,rear
Opel,4500,crossover,290,2.0,Petrol,yes,1995,Frontera,full
BMW,14600,sedan,116,2.5,Diesel,yes,2004,525,rear
Peugeot,28000,other,32,1.6,Petrol,yes,2013,RCZ,front
Renault,11500,van,170,1.5,Diesel,yes,2012,Grand Scenic,front
Volkswagen,7170,van,176,2.0,Diesel,yes,2005,Caddy ����.,front
Mercedes-Benz,40000,other,119,6.3,Petrol,yes,2008,ML 63 AMG,full
Mercedes-Benz,11300,other,220,3.2,Diesel,yes,2003,E-Class,rear
Nissan,14000,crossover,165,3.5,Petrol,yes,2008,Murano,full
Kia,6300,hatch,89,1.1,Petrol,yes,2006,Picanto,front
Kia,14000,crossover,145,2.5,Diesel,yes,2008,Sorento,full
Mitsubishi,13200,crossover,79,2.4,Gas,yes,2009,Outlander,full
Volkswagen,12500,vagon,96,,Petrol,yes,2010,Golf VI,front
Nissan,16431,crossover,1,1.6,Petrol,yes,2015,Juke,front
VAZ,800,other,150,1.5,Petrol,yes,2002,2108,front
Hyundai,9600,crossover,180,2.0,Petrol,yes,2008,Tucson,full
Hyundai,5500,hatch,87,1.4,Petrol,yes,2007,Getz,front
Hyundai,5000,sedan,180,1.6,Petrol,yes,2004,Elantra,front
Nissan,1499,sedan,16,2.0,Gas,yes,1991,Primera,
Mercedes-Benz,13500,van,350,2.9,Diesel,yes,2000,Sprinter 312 ����.,rear
Subaru,38900,crossover,1,2.0,Diesel,yes,2016,Forester,full
Volkswagen,13700,other,103,2.0,Diesel,yes,2011,Passat B6,
Hyundai,17500,crossover,138,2.2,Diesel,yes,2010,Santa FE,front
BMW,30500,sedan,73,2.0,Petrol,yes,2013,520,rear
Daewoo,4350,sedan,37,1.5,Gas,yes,2009,Lanos,front
Geely,7800,sedan,69,1.8,Petrol,yes,2012,Emgrand 7 (EC7),front
BMW,37000,sedan,95,4.4,Petrol,yes,2011,750,full
Subaru,13000,crossover,110,3.0,Petrol,yes,2006,Tribeca,full
BMW,41000,sedan,97,4.4,Petrol,yes,2011,750,full
Chevrolet,6200,hatch,124,1.6,Petrol,yes,2007,Lacetti,front
Renault,4950,vagon,170,1.5,Diesel,yes,2004,Kangoo ����.,front
Toyota,18800,vagon,89,1.8,Petrol,yes,2012,Avensis,front
BMW,36400,crossover,80,3.0,Petrol,yes,2011,X5,full
Ford,20000,other,80,4.0,Petrol,yes,2008,Mustang,rear
Smart,5950,hatch,150,1.3,Petrol,yes,2004,Forfour,front
VAZ,1450,sedan,13,,Petrol,yes,1996,2107,rear
Geely,5300,sedan,70,1.8,Gas,yes,2013,Emgrand 7 (EC7),front
Geely,3100,sedan,160,1.5,Petrol,yes,2007,CK,front
Opel,4600,vagon,180,1.6,Petrol,yes,2000,Astra G,front
Mazda,7999,sedan,135,2.0,Gas,yes,2006,6,front
Citroen,19900,hatch,103,1.6,Diesel,yes,2012,DS5,front
Hyundai,24250,crossover,1,2.0,Petrol,yes,2016,Tucson,full
VAZ,1950,sedan,160,1.5,Gas,yes,2005,2107,rear
BMW,7400,sedan,279,3.5,Gas,yes,1998,735,rear
Volkswagen,20600,sedan,107,1.8,Petrol,yes,2012,Passat CC,front
Mercedes-Benz,5200,sedan,370,2.0,Petrol,yes,1997,E-Class,rear
Daewoo,4700,sedan,110,1.5,Gas,yes,2007,Lanos,front
BMW,12900,sedan,200,2.5,Petrol,yes,2006,523,rear
Mercedes-Benz,6500,sedan,435,3.2,Petrol,yes,1994,S 140,rear
ZAZ,6900,sedan,52,1.5,Gas,yes,2013,Vida,front
Peugeot,7300,sedan,215,2.2,Gas,yes,2003,607,front
Mercedes-Benz,47600,van,0,2.2,Diesel,yes,2016,Vito ����.,rear
Honda,8500,crossover,90,2.4,Petrol,no,2011,CR-V,full
Volkswagen,8500,sedan,220,2.0,Other,yes,2005,Passat B5,front
Mitsubishi,4500,sedan,300,1.6,Gas,yes,2000,Carisma,front
Opel,7200,hatch,160,1.6,Petrol,yes,2005,Astra H,front
Renault,6999,sedan,65,1.4,Petrol,yes,2012,Symbol,front
Mercedes-Benz,26900,sedan,150,5.5,Petrol,yes,2008,S 550,full
Ford,3300,van,178,1.9,Diesel,yes,2000,Galaxy,front
Geely,6261,sedan,1,1.5,Petrol,yes,2015,CK,front
Audi,37800,other,126,3.0,Diesel,yes,2010,Q7,full
Mercedes-Benz,7700,sedan,199,5.0,Petrol,yes,1996,S 500,rear
Kia,14712,sedan,1,1.6,Petrol,yes,2015,Cerato,front
Mitsubishi,15000,crossover,295,2.8,Diesel,yes,2004,Pajero Wagon,full
Honda,16700,sedan,71,2.0,Petrol,yes,2011,Accord,front
Mazda,8900,sedan,138,1.6,Gas,yes,2007,3,front
Audi,3050,vagon,250,2.5,Other,no,2001,A6,front
BMW,3200,sedan,237,2.5,Petrol,yes,1990,525,rear
Mercedes-Benz,4150,other,277,2.2,Diesel,yes,2000,Vito ����.,front
Opel,5400,vagon,213,1.7,Diesel,yes,2004,Combo ����.,front
Nissan,19829,sedan,0,1.6,Petrol,yes,2015,Sentra,front
Mercedes-Benz,5500,sedan,440,2.0,Petrol,yes,1978,E-Class,rear
Chery,3000,hatch,55,1.1,Petrol,yes,2010,QQ,front
Subaru,13000,sedan,104,2.5,Petrol,yes,2007,Impreza WRX STI,front
Nissan,5000,other,200,1.8,Petrol,yes,1999,Primera,front
Ford,25400,crossover,40,2.0,Diesel,yes,2014,Kuga,full
Volkswagen,6900,sedan,256,1.8,Petrol,yes,2002,Passat B5,front
Audi,30999,sedan,108,2.0,Diesel,yes,2013,A6,front
Renault,12179,vagon,95,1.5,Diesel,yes,2012,Megane,front
Peugeot,6700,van,134,1.6,Diesel,yes,2013,Partner ����.,front
Geely,3800,sedan,116,1.6,Petrol,yes,2008,MK,front
Daewoo,4200,sedan,288,1.5,Gas,yes,2004,Lanos,front
Honda,11500,sedan,99,1.8,Petrol,yes,2007,Civic,
Chevrolet,44700,van,120,3.5,Petrol,yes,2013,Express ����.,full
Citroen,11700,hatch,72,1.6,Diesel,yes,2012,C4,front
Opel,9500,other,157,2.0,Diesel,yes,2011,Vivaro ����.,front
Great Wall,10500,other,32,2.0,Petrol,yes,2013,Haval,
Volkswagen,7800,sedan,220,1.8,Gas,yes,2002,Passat B5,front
Chevrolet,5999,sedan,100,1.6,Petrol,yes,2006,Lacetti,front
Hyundai,9100,hatch,62,1.4,Petrol,yes,2011,i30,front
Skoda,15100,sedan,56,1.8,Petrol,yes,2011,Octavia A5,front
Hyundai,4900,crossover,230,2.0,Diesel,no,2004,Santa FE,full
Porsche,24900,crossover,88,4.8,Petrol,yes,2008,Cayenne,full
Mitsubishi,7300,sedan,145,1.6,Petrol,yes,2008,Lancer,front
Peugeot,23156,vagon,0,1.6,Petrol,yes,2016,308,front
Citroen,11500,van,180,2.0,Diesel,yes,2010,Jumpy ����.,front
VAZ,5250,hatch,82,1.6,Gas,yes,2012,2114,front
Daewoo,3000,sedan,178,1.4,Petrol,yes,2007,Lanos,front
Toyota,6900,hatch,109,1.3,Gas,yes,2007,Yaris,front
Mercedes-Benz,25500,sedan,137,2.2,Diesel,yes,2012,E-Class,rear
BMW,23500,crossover,180,4.8,Petrol,yes,2008,X5,full
Toyota,13500,sedan,139,2.4,Gas,yes,2008,Camry,front
BMW,32500,crossover,152,3.0,Diesel,yes,2008,X5,full
Ford,5000,hatch,180,1.3,Petrol,yes,2006,Fiesta,front
BMW,17900,sedan,69,2.0,Petrol,yes,2008,320,rear
SsangYong,11400,crossover,153,,Diesel,yes,2010,Kyron,full
Skoda,8200,other,147,1.6,Gas,yes,2007,Octavia Tour,
Mazda,21000,crossover,56,2.0,Petrol,yes,2012,CX-5,full
Mercedes-Benz,114999,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,13400,sedan,105,1.8,Petrol,yes,2006,E-Class,rear
VAZ,2500,hatch,200,1.5,Petrol,yes,2002,2112,front
Toyota,22800,other,55,2.5,Petrol,yes,2013,Camry,full
Kia,3400,sedan,140,1.3,Petrol,yes,2002,Rio,front
Volkswagen,8350,hatch,200,1.4,Petrol,yes,2005,Golf V,front
Porsche,68000,crossover,38,4.8,Petrol,yes,2012,Cayenne,full
Mazda,8900,sedan,122,2.0,Petrol,yes,2006,6,front
Volkswagen,10000,sedan,66,1.6,Petrol,yes,2011,Polo,front
Volkswagen,7200,van,270,1.9,Diesel,yes,2008,T5 (Transporter) ����,front
Volkswagen,18900,hatch,56,2.0,Petrol,yes,2012,Golf GTI,front
Volkswagen,21000,crossover,173,3.0,Diesel,yes,2008,Touareg,full
VAZ,3250,sedan,125,1.5,Gas,yes,2006,21099,front
Opel,5200,sedan,218,1.6,Gas,yes,2002,Astra G,front
BMW,4500,sedan,300,3.0,Diesel,yes,2000,330,rear
VAZ,4000,crossover,80,1.6,Petrol,yes,2006,2121,
Renault,5600,vagon,117,1.5,Diesel,yes,2008,Kangoo ����.,front
ZAZ,370,sedan,3,1.1,Petrol,yes,1989,968,rear
Ford,6800,hatch,86,1.25,Gas,yes,2009,Fiesta,front
Toyota,29500,crossover,90,2.7,Gas,yes,2010,Land Cruiser Prado,full
Mercedes-Benz,35500,sedan,100,3.5,Petrol,yes,2010,S 350,full
Skoda,2800,vagon,223,1.9,Diesel,no,2000,Octavia Tour,front
Volkswagen,25999,sedan,60,1.8,Petrol,yes,2014,Passat B7,front
Chevrolet,5500,sedan,168,,Petrol,yes,2005,Lacetti,front
Toyota,5800,sedan,200,2.2,Petrol,yes,1999,Camry,front
Mazda,7999,sedan,91,1.6,Petrol,yes,2008,3,front
ZAZ,4600,sedan,88,,Gas,yes,2014,Sens,
BMW,7500,sedan,425,,Gas,yes,1996,535,rear
Nissan,14999,sedan,66,2.5,Petrol,yes,2010,Teana,front
Mercedes-Benz,17300,sedan,184,1.8,Gas,yes,2008,E-Class,rear
Volkswagen,6800,vagon,160,2.8,Petrol,yes,2001,Sharan,front
Mitsubishi,10600,crossover,52,2.0,Petrol,yes,2008,Outlander,full
Porsche,13222,crossover,110,4.5,Gas,yes,2005,Cayenne,full
Skoda,8900,sedan,140,1.6,Petrol,yes,2009,Octavia A5,front
Hyundai,5400,hatch,133,1.4,Petrol,yes,2004,Getz,front
Volkswagen,24800,sedan,2,1.6,Diesel,yes,2016,Jetta,front
Volkswagen,23999,sedan,88,,Other,yes,2012,Passat CC,
Mitsubishi,5700,other,170,1.3,Petrol,yes,2006,Colt,front
Volkswagen,8200,hatch,164,1.4,Petrol,yes,2008,Polo,front
Peugeot,12100,vagon,171,1.6,Diesel,yes,2010,5008,front
Jeep,4900,crossover,280,4.0,Petrol,yes,1994,Grand Cherokee,full
Volkswagen,2200,sedan,272,1.9,Diesel,no,1998,Passat B5,front
Renault,6750,other,110,1.5,Diesel,yes,2012,Kangoo ����.,front
Lexus,15400,sedan,127,3.0,Petrol,yes,2006,GS 300,full
Volkswagen,10700,van,153,2.0,Diesel,yes,2010,Caddy ����.,front
BMW,56500,crossover,45,3.0,Diesel,yes,2014,X6,full
Mitsubishi,4800,hatch,206,1.6,Gas,yes,2001,Carisma,front
Volkswagen,3800,sedan,300,2.8,Gas,yes,1996,Passat B4,front
Toyota,3300,van,345,2.4,Diesel,yes,1992,Hiace ����.,rear
Honda,9600,sedan,126,1.8,Petrol,yes,2008,Civic,front
Porsche,20500,crossover,195,3.6,Other,yes,2007,Cayenne,full
Suzuki,10999,crossover,128,2.0,Gas,yes,2007,Grand Vitara,full
Saab,7000,sedan,210,2.3,Petrol,yes,2000,9-May,front
Renault,3500,van,30,1.4,Gas,yes,2006,Kangoo ����.,front
BMW,3500,hatch,1,2.0,Petrol,yes,2006,120,rear
Ford,5700,sedan,34,2.0,Petrol,no,2010,Focus,front
Daewoo,3000,hatch,195,1.5,Gas,yes,2008,Lanos,front
Skoda,13999,sedan,88,1.8,Petrol,yes,2012,Octavia A5,front
Porsche,45500,sedan,80,3.6,Petrol,yes,2011,Panamera,full
Lexus,20000,crossover,135,3.5,Petrol,yes,2008,RX 350,full
VAZ,1700,other,60,1.6,Other,yes,1983,2121,full
Toyota,88000,crossover,3,4.5,Diesel,yes,2016,Land Cruiser 200,full
ZAZ,4580,other,82,1.2,Petrol,yes,2008,110557,front
Nissan,15861,hatch,29,,Other,yes,2014,Leaf,front
Mercedes-Benz,2700,sedan,337,2.3,Gas,yes,1988,230,rear
Volkswagen,16900,crossover,133,2.5,Diesel,yes,2007,Touareg,full
Toyota,24842,sedan,0,1.8,Petrol,yes,2016,Avensis,front
ZAZ,2100,sedan,82,1.2,Petrol,yes,2007,1103 �������,front
Peugeot,6799,other,126,1.6,Diesel,yes,2009,Partner ����.,front
BMW,65099,crossover,0,2.0,Diesel,yes,2016,X5,full
Volkswagen,10000,van,224,2.5,Diesel,yes,2006,T5 (Transporter) ����.,front
Honda,25900,other,54,3.5,Petrol,yes,2012,Crosstour,full
VAZ,2800,hatch,140,,Gas,yes,2002,21093,front
Smart,11900,other,90,1.0,Petrol,yes,2011,Cabrio,rear
MINI,7500,sedan,101,1.6,Petrol,yes,2005,Cooper,front
Audi,2650,sedan,300,2.0,Petrol,yes,1987,80,front
Mercedes-Benz,5200,van,400,2.9,Diesel,yes,1999,Sprinter 210 ����.,rear
Daewoo,3750,sedan,83,1.5,Gas,yes,2007,Lanos,front
Nissan,18421,sedan,0,1.6,Petrol,yes,2015,Sentra,front
BMW,27500,sedan,170,2.0,Diesel,yes,2011,520,rear
Opel,8800,van,285,1.9,Diesel,yes,2004,Vivaro ����.,front
BMW,5000,sedan,305,2.0,Petrol,yes,1995,520,rear
Lexus,6000,sedan,350,3.0,Petrol,yes,1996,GS 300,rear
Opel,10950,sedan,44,1.6,Gas,yes,2012,Astra H,front
Nissan,9000,sedan,25,1.6,Petrol,yes,2011,Almera,front
Audi,62000,vagon,24,3.0,Diesel,yes,2015,A6 Allroad,full
Skoda,22500,vagon,75,1.8,Petrol,yes,2014,Superb,front
Land Rover,34900,crossover,38,2.2,Diesel,yes,2013,Freelander,full
Skoda,17900,sedan,65,1.8,Petrol,yes,2013,Superb,front
Hyundai,8990,crossover,155,2.0,Gas,yes,2007,Tucson,full
Chevrolet,4600,hatch,143,1.5,Petrol,yes,2006,Aveo,front
Kia,22800,crossover,58,2.0,Diesel,yes,2013,Sportage,full
Volkswagen,5700,sedan,300,1.8,Petrol,yes,2001,Passat B5,front
Hyundai,23800,crossover,115,2.2,Diesel,yes,2011,Santa FE,full
Mercedes-Benz,40500,crossover,54,5.5,Petrol,yes,2011,GL 500,full
Opel,6950,sedan,53,1.4,Petrol,yes,2006,Astra G,front
Toyota,13000,hatch,42,1.3,Petrol,yes,2013,Auris,
SsangYong,12400,crossover,73,2.0,Diesel,yes,2011,Korando,front
Opel,7300,hatch,116,1.4,Gas,yes,2007,Astra H,front
Porsche,20999,crossover,68,4.8,Petrol,yes,2007,Cayenne,full
Nissan,15656,crossover,0,1.6,Petrol,yes,2016,Juke,front
Audi,34000,crossover,118,2.0,Diesel,yes,2013,Q5,full
Volkswagen,13700,van,222,2.0,Diesel,yes,2011,T5 (Transporter) ����,front
Hyundai,18100,sedan,0,1.6,Petrol,yes,2015,Elantra,front
BMW,47500,sedan,0,2.0,Diesel,yes,2016,320,full
BMW,8990,other,300,2.2,Petrol,yes,2002,320,rear
